gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_imputed,n_observed,too_few_observed,slope_full,p_full,slope_noimpute,p_noimpute,direction_same,sig_noimpute,imputation_sensitive,dfbetas_stable,imp_insensitive
KCNQ5,-0.9547397275149491,5.887538746457479,-6.402168763642823,4.5660625513220694e-07,0.007033106147801384,-0.38826136145777923,,Amide-Neg-000047,Dl-Alanine,IN-MGE-Immature,17,0.01771864598898401,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00250;map00330;map00380;map00450;map00480;R-HSA-1362409;R-HSA-209776;R-HSA-209968;R-HSA-2408508;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-389661;R-HSA-428559;R-HSA-442660;R-HSA-5619044;R-HSA-5619094;R-HSA-5659735;R-HSA-70268;R-HSA-71240;R-HSA-73621;R-HSA-8956319;R-HSA-8963691;R-HSA-8964208;R-HSA-8964539;R-HSA-8964540;R-HSA-947581;WP106;WP1946;WP2485;WP3953;WP4210;WP4236;WP4595;WP4661;WP4917;WP5029;WP5166;WP5179;WP5194,C00041;C01401,NA,high,0,17,FALSE,-0.7231513119674535,0.0021154085581263677,-0.7231513119674535,0.0021154085581263677,TRUE,TRUE,FALSE,FALSE,TRUE
SLC5A7,1.1156271657281025,0.5464633174158235,6.996697586763546,2.2965231667659528e-6,0.026243518488217925,3.9832976718122968,,Amide-Neg-000015,Glycolic Acid,EN-L6b,16,0.051333334994008176,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,16,FALSE,0.606214000905364,5.508723108225308e-4,0.606214000905364,5.508723108225308e-4,TRUE,TRUE,FALSE,FALSE,TRUE
ARL14EP-DT,1.4273148657250208,2.05408608137118,7.333963094147906,1.2528933017003885e-6,0.026243518488217925,4.80829721524835,,Amide-Neg-000015,Glycolic Acid,EN-L6b,16,0.034797174371048824,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,16,FALSE,0.9077830035810902,2.0231213879841608e-4,0.9077830035810902,2.0231213879841608e-4,TRUE,TRUE,FALSE,FALSE,TRUE
FLG-AS1,-2.2704325009038904,3.5132732809506746,-6.3999346088712485,6.721011485453808e-6,0.09914836143341457,-3.996776217501255,,Amide-Neg-000011,Glycine,Astrocyte-Immature,11,0.09815046880481261,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00120;map00250;map00270;map00330;map00480;map00860;map00910;R-HSA-156587;R-HSA-156590;R-HSA-159418;R-HSA-159424;R-HSA-174403;R-HSA-177128;R-HSA-177135;R-HSA-189445;R-HSA-189451;R-HSA-192105;R-HSA-193368;R-HSA-194068;R-HSA-196757;R-HSA-2142691;R-HSA-2408508;R-HSA-2682334;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-389661;R-HSA-3928662;R-HSA-428559;R-HSA-438064;R-HSA-438066;R-HSA-442660;R-HSA-442742;R-HSA-442755;R-HSA-442982;R-HSA-5423646;R-HSA-5579006;R-HSA-5579029;R-HSA-5619041;R-HSA-5619044;R-HSA-5619089;R-HSA-5619094;R-HSA-5659735;R-HSA-6783984;R-HSA-6794362;R-HSA-6798163;R-HSA-71262;R-HSA-71288;R-HSA-73817;R-HSA-8849175;R-HSA-8849932;R-HSA-8955332;R-HSA-8956320;R-HSA-9018677;R-HSA-9026395;R-HSA-9026762;R-HSA-9026766;R-HSA-9617324;R-HSA-9620244;R-HSA-9664535;R-HSA-9749641;R-HSA-9753281;WP100;WP1495;WP176;WP241;WP2525;WP3584;WP3996;WP4259;WP4290;WP4292;WP4504;WP4518;WP4688;WP4917;WP5028;WP5029;WP5166;WP5169;WP5190;WP521;WP5312;WP561;WP715,C00037;C22407,NA,high,0,11,FALSE,-1.8639761894294338,0.0033967493634910785,-1.8639761894294338,0.0033967493634910785,TRUE,TRUE,FALSE,FALSE,TRUE
ENSG00000249806,1.714278299400505,2.1528823183390915,6.287154131405106,4.767844885158999e-6,0.009234123581331691,3.6318444758026303,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.07985998156990974,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.168984339644598,0.003419573019260615,1.168984339644598,0.003419573019260615,TRUE,TRUE,FALSE,FALSE,TRUE
RXFP1,2.084220553274023,2.11831380537326,8.149551535486296,1.2150558979596458e-7,0.0018826076082986752,6.581714798846689,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.007417674004411996,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.411486156180299,0.006856761975588332,1.411486156180299,0.006856761975588332,TRUE,TRUE,FALSE,FALSE,TRUE
EDIL3-DT,1.2760151970553717,3.6202895050919808,6.229801107204705,5.377655690175277e-6,0.009257933029286194,3.885073313453093,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.08590081209582477,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,0.9077899827864063,1.1547206664293837e-4,0.9077899827864063,1.1547206664293837e-4,TRUE,TRUE,FALSE,FALSE,TRUE
HS3ST5,1.4319007929720564,5.634241288581655,6.288646945492228,4.752958870693287e-6,0.009234123581331691,4.318654573634202,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.07971843067506197,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,0.8597500706276506,0.013775412227468302,0.8597500706276506,0.013775412227468302,TRUE,TRUE,FALSE,FALSE,TRUE
PDE7B,2.1614773152892526,3.5392811849005734,6.424028776888441,3.583667094013136e-6,0.009234123581331691,4.286025279552111,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.06752799647586057,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.2887587662569577,0.020255752010212298,1.2887587662569577,0.020255752010212298,TRUE,TRUE,FALSE,FALSE,TRUE
ADRA1A,2.1420458296826004,3.383945676503592,6.9531073280767774,1.2167040505431804e-6,0.00471290313977901,5.091898848341228,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.034175067638650324,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.4271498985868731,0.01378673167675086,1.4271498985868731,0.01378673167675086,TRUE,TRUE,FALSE,FALSE,TRUE
PRSS23,1.7059228651109732,4.190218588811683,6.374905905261337,3.9692232668752116e-6,0.009234123581331691,4.2390345532570946,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.07152886578300498,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.1363346682301414,0.01459836148172827,1.1363346682301414,0.01459836148172827,TRUE,TRUE,FALSE,FALSE,TRUE
HS3ST4,2.218131703234901,4.5042339899476245,7.0259311249969505,1.0516936921630392e-6,0.00471290313977901,5.467951482510158,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.031070338103654706,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.2891665667875183,0.028189379640179986,1.2891665667875183,0.028189379640179986,TRUE,TRUE,FALSE,FALSE,TRUE
