"Compound.ID","Name","Formula","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18","Sample21","Sample23","Sample24","Sample26","Sample31","Sample33","Sample37","Sample40","Sample41","Sample42","Sample43","Sample46","Sample47","Sample49","Sample50"
"C18-Pos-001425","(2r)-3-Hydroxyisovaleroylcarnitine","C12 H23 N O5",1664683.91699996,NA,4176735.202377,NA,1010184.91683155,NA,2211039.57100607,NA,3222514.5300516,NA,1751670.78350993,NA,NA,1466631.11383684,NA,2117754.3781311,1855398.60611969,NA,4670480.86824199,2026140.80442912,2146680.11161119,2690182.4758904,2653438.1147306,NA
"C8-Neg-002321","(2s)-2-Hydroxy-3-[(Hydroxy{[(1s,2r,3r,4s,5s,6r)-2,3,4,5,6-Pentahydroxycyclohexyl]Oxy}Phosphoryl)Oxy]Propyl (12z)-12-Octadecenoate","C27 H51 O12 P",267400.972154103,336759.001187408,315450.097458945,622852.962043532,467331.411813689,171776.880183897,234619.674435871,217565.677237925,1357818.92753171,301136.268196848,811747.390513135,363770.32805322,236711.930201569,183622.061022356,350000.401418683,349421.477248487,436116.178368322,220641.159615396,156670.850041079,561391.684692662,253472.81709414,277673.205014037,254939.048772832,341189.892164006
"C18-Pos-000888","(2s)-2-[(2-Azaniumylacetyl)Amino]-4-Methylpentanoate","C8 H16 N2 O3",324120.906038293,280671.172546537,571161.919006949,1120997.36924978,290510.967416644,282419.804762462,599957.990314513,375250.278716992,983144.550695124,638454.724570022,602372.421089679,182430.738879298,437721.083384877,388420.238016094,345310.846472798,285317.554770753,226263.717327933,270661.819337673,936221.286839947,218142.9314648,366831.453941148,330843.283318062,254060.287569584,414026.356428309
"Amide-Pos-000872","(R)-Butyrylcarnitine","C11 H21 N O4",292958.584996465,700207.477869347,459397.059156368,900494.05022149,NA,271913.036356817,603939.203376665,NA,NA,NA,NA,NA,NA,NA,924541.047240175,NA,NA,699145.173541928,666824.672617678,NA,357237.948086691,700901.800878993,727970.637110173,NA
"C18-Pos-001415","(R)-Pantetheine","C11 H22 N2 O4 S",19560.4718319948,31849.1556130331,20203.5766703671,101364.2833974,118060.180051889,70133.4749825628,53642.1159041576,53501.4514648202,307274.364200226,33894.4711385145,72283.7451631682,20199.9609012142,96637.3381001418,33284.7568933575,58537.8712741797,73445.4638548421,64001.2587285628,48516.3316774235,84947.5201556602,38388.234324136,117251.671041418,75030.0377396048,94579.5244895655,57391.5691243979
"C8-Neg-000383","(Rac)-Idroxioleic Acid","C18 H34 O3",909684.939224839,1218470.94565805,972629.769540846,897065.352556298,1380657.29521755,1038380.22547445,937360.153641358,1738126.67238927,1202602.43303235,736761.708751862,940572.964810063,1178239.69944979,1045444.51429979,1070148.57557911,777551.0295148,1129030.4565511,1406866.82812081,857955.041655231,1077083.6078913,1741021.32178674,1644754.3174539,1027167.29667749,861710.825149125,795564.81619096
"C8-Pos-000501","(±)5-Hepe","C20 H30 O3",463829.304640265,671116.133164303,497513.097706909,862872.058876558,615678.912871967,819976.022525273,615266.688780167,736304.524070018,573084.342751828,1027583.78489882,599835.648352421,223658.510423838,702302.617758442,54345.5765319217,226668.072616691,581169.859914999,187594.207616886,513258.32857493,NA,NA,118378.59530837,91553.1199939816,59206.2413773565,590795.452731676
"C8-Pos-004898","1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine","C48 H92 N O8 P",NA,NA,NA,NA,NA,37071.5186707907,NA,78591.816749084,NA,NA,103716.907258261,70691.4960654851,NA,94060.3322893067,NA,NA,96986.5743007718,90159.9522749054,107303.990566949,50039.1457352893,126781.711530192,NA,79644.7056725805,42138.7384486522
"C8-Pos-003474","1,2-Dimyristoyl-Sn-Glycero-3-Pc","C36 H72 N O8 P",285985844.451437,262030586.837396,245018770.705378,292052613.935762,265422222.655559,187313493.003919,293888551.932172,187806385.668768,221498557.461734,274436133.337092,264059767.788942,226710356.21761,263284693.076332,215587374.260939,171044404.750722,285776321.661011,208675137.556411,286299322.769179,243489267.562696,240066537.230532,217834567.642636,297818124.004152,303275377.363582,272371533.54702
"Amide-Pos-002307","1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine","C44 H84 N O8 P",2259448.18647476,3395198.09265097,1617825.39273503,3282252.67867297,2435943.06712965,1462471.5725701,2003289.96312638,1910025.78699902,801600.108919888,508621.79283165,661066.54705174,548923.181767003,595277.48390855,855325.919810773,928619.406624351,412520.996882411,2114385.03669254,3414879.57338237,5638138.92571293,679609.250256287,1056592.57673519,1606113.29154383,4501234.96502705,2104339.32960793
"Amide-Pos-002176","1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine","C38 H76 N O8 P",4765761.04747309,8260296.02777433,3673909.94276063,7334925.87147275,5871766.25214417,2169287.84474527,4654044.50216368,1903238.18834916,2022441.00365736,1695352.54070011,1540850.66726962,1277814.10527779,1894784.60451876,1496865.42567112,1820952.90610984,1389968.33954084,4313426.18529106,5330656.68269049,25026892.1731953,2082461.38090404,2198386.47681581,3990886.42245956,11940186.909403,7727159.12246314
"C8-Pos-004362","1,3,5-Tris(3,5-Di-Tert-Butyl-4-Hydroxybenzyl)-1,3,5-Triazine-2,4,6(1h,3h,5h)-Trione","C48 H69 N3 O6",108758.391908099,82267.669223575,117023.970723693,117222.200441436,109777.852887797,68375.1150799699,NA,93367.8449503967,94514.9901774117,88921.2950066842,156277.050793033,148390.089853967,85835.3664117804,178405.71462856,74017.9006126312,86760.2239719316,92889.3221301243,78641.2574031782,43837.9136210786,80941.8952796461,134635.593230335,96017.1485549533,99141.1283159213,84010.6797986135
"C18-Pos-000931","1,3-Benzodioxolylbutanamine (Bdb)","C11 H15 N O2",1195694.02511829,NA,NA,4125211.26351814,1450963.38687784,NA,NA,1984075.19612917,3228668.26292197,2867027.69389338,679253.691500363,NA,2359500.96123011,NA,NA,NA,1652743.11340582,NA,1613224.46962651,2106724.03228224,999332.325978995,2816730.41513546,2189061.7462927,NA
"C8-Pos-000033","1,3-Diphenylacetone","C15 H14 O",460422.062392025,474976.218606732,486031.710312664,503546.486012051,467253.246479803,468465.429802115,486462.744730556,485961.442688179,474343.04280855,416974.664827049,470297.14319345,486422.227135299,482072.634708558,485908.372487057,482661.241269711,470798.063313421,477785.805975374,482228.917599605,449664.500388286,486524.135638372,471682.642684951,472722.112243235,472788.561391974,484911.981556965
"C8-Pos-004250","1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine","C44 H86 N O7 P",4092661.24026614,4512159.87965587,4120177.60808626,3686657.28110424,3618482.56001889,6498256.36955291,4011903.08493988,5844745.03564334,4855007.65573246,4546713.9270945,5689875.2763391,8595871.00596859,4171649.70331461,5002417.52157103,5527229.87349998,3524897.17602406,5420270.27119732,5270085.93663504,4743046.14800677,5825898.12175647,6385476.74471726,4042572.93139508,6022113.67938235,4694487.84040124
"C18-Pos-003970","1-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphoethanolamine","C23 H46 N O7 P",442808.182206956,530182.280662686,204825.89478264,536352.135350388,366292.950961127,157478.615142727,199991.513050268,196631.115667135,492270.327522683,243021.448952936,332185.010153278,139653.612378481,241114.809847478,142027.826325747,226884.996443902,166639.917684053,384206.584464019,310566.378576054,649187.89962706,264766.530223732,258174.147063984,227273.162553082,355022.331193752,253852.232572857
"Amide-Pos-000091","1-Aminocyclopropanecarboxylic Acid","C4 H7 N O2",2091478.14260284,1921344.89626671,1879044.13246561,3276755.53712033,4436.83436968322,8682.83732049905,1438762.67215122,2168037.64146648,1591866.95746375,2976396.67048896,3398932.04993793,1303861.99313285,1377358.36589836,3605208.03890642,1786305.6420568,2842772.07172664,2140488.66466436,2398486.59139037,2993367.8391619,2699355.97554975,2286419.88114433,15789.3917605745,2247499.21907376,1626493.22009548
"C8-Pos-004336","1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine","C44 H80 N O8 P",299816.707741603,NA,51428.2054134948,120633.588518644,58527.189714939,NA,14180.9968347086,NA,NA,63595.4221279079,115625.209741995,7792.85905742475,122057.23299002,187636.879790045,12991.5375791904,27274.0814337288,75462.7686023608,NA,NA,48104.4921868905,1493928.7774298,NA,NA,9646.74682598863
"C8-Pos-004099","1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine","C42 H80 N O8 P",300322.310566306,256637.069498377,22948.6908296289,108143.911952096,55408.4724915494,NA,NA,NA,NA,60466.3666165131,184724.349108322,32483.7960670573,NA,58254.844722905,NA,34107.135488756,NA,NA,61193.4017598515,NA,NA,NA,25343.9925795469,16831.5555665198
"C18-Pos-003617","1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine","C21 H44 N O7 P",326491.8179414,449181.291426998,224666.790280887,519076.907309241,410935.432906211,177133.845491684,258315.472348336,170210.812220796,561876.858140716,254654.62307408,353973.908148923,153126.578599864,267358.591423483,147683.684726656,235013.814782406,228386.094840877,495627.760194661,408131.265174986,1134503.95461383,330253.479582479,363402.889563089,306307.512795501,477866.48519836,325128.729131505
"C8-Pos-000787","1-Linoleoyl Glycerol","C21 H38 O4",11440294.0328331,12426709.4443391,11497339.5353739,12312237.6895974,11507511.1944234,11818243.236352,11051791.9451493,11413469.6721855,12466859.348928,11568171.4962287,10144935.8512834,11120228.3348276,11118717.8376798,11100805.1700072,10478133.3918394,10916324.1992926,11540650.4910663,10466550.0057538,7551748.38099168,11610426.7958627,11343370.772664,10421142.8548446,10924911.941032,10810957.7346202
"C18-Pos-004537","1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine","C26 H50 N O7 P",153300.044177981,101821.53451504,183491.763629533,NA,31354.0870284673,46861.216052691,NA,NA,216775.493175668,NA,NA,66395.6758844558,NA,NA,286164.81692768,NA,NA,47711.3071416918,80158.7219461986,NA,NA,NA,40196.3464492356,134519.779246696
"Amide-Pos-001132","1-Methyladenosine","C11 H15 N5 O4",3435476.65289414,4620827.53342764,2830180.16347559,4446192.84367627,3331832.41070287,2836455.41057098,2903581.71448611,3711644.9972127,3533713.89511841,4819819.72790523,4801173.54800694,2141574.76235137,3155502.07230153,3829187.83077495,4269143.64061549,4130634.3760892,4656011.07801032,3696528.31399947,3668969.20599105,5507186.24872318,4921281.05388111,3228890.42343015,4614331.20523202,4332402.89294673
"Amide-Pos-000599","1-Methylhistidine","C7 H11 N3 O2",177933.744306764,793690.649724856,206848.611705834,NA,244401.495094838,896969.158084415,NA,458414.826947612,615370.612793662,315605.579824629,422078.886853489,399702.291020563,249480.292672547,302865.077375937,127171.243478131,276814.070553717,192551.436204451,341010.271416136,864725.816923824,816936.719767569,440286.172261734,160801.679004461,473523.647152005,354666.17780395
"Amide-Pos-001743","1-Myristoyl-Sn-Glycero-3-Phosphocholine","C22 H46 N O7 P",320893.025001204,411087.546523678,103335.561797274,483825.587795181,391843.015265779,124451.507452935,407123.709611235,124577.02188166,180552.13236103,307263.921768475,448319.867478812,277266.03153933,227709.811933608,157826.247635453,83058.6197305346,359364.87436,165299.725400277,332763.777037848,622868.418883438,375772.969046729,271746.011399172,369163.316936168,167867.917061508,485551.055454688
"Amide-Pos-002309","1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine","C44 H86 N O8 P",4188025.52857617,6599827.1019741,2782132.51994715,5710910.60858365,4915162.61678944,3054260.78912465,4525722.93524767,3717699.54156494,2047484.35824106,1202639.60178018,1268364.91484126,971763.152108405,1419551.19841128,1284796.03600836,1341604.69526835,1013690.77225313,3493922.86136857,4918268.02534615,10473955.9545201,1179702.14732891,2445856.04171469,2867272.49054674,7501995.22668987,3723264.55651864
"Amide-Pos-002228","1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine","C40 H78 N O8 P",9279279.54546841,17083158.9544715,8016277.09588163,13412203.1556616,12339486.6726244,4879664.25991069,8292193.24897204,4789229.80147484,3628074.05838732,2649036.24885287,2488671.64584987,2770172.19315159,2929568.11134261,3245315.68868661,4350873.46795864,2119926.99657658,9620530.22052573,16242267.2476009,45298106.2959665,3572618.48660818,5053385.05470943,6871934.8398842,23389845.563716,10302741.5521045
"C18-Pos-004585","1-Oleoyl-Sn-Glycero-3-Phosphocholine","C26 H52 N O7 P",1546775.62117294,1862646.83631427,1467462.11235305,3004423.04321999,1675833.2962859,620510.987192368,1189429.22183155,673420.742906323,3259923.4972027,1309283.6118097,1688594.92453331,1279226.73331224,1213071.30711353,832138.391472259,1272265.51877441,1174403.13684517,2090788.29353107,1970908.38802385,4623935.57225144,1639250.12264499,1323433.43167197,1353977.0790541,2043896.62696417,2006248.51765037
"C8-Pos-004574","1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine","C46 H80 N O8 P",18046222.9298059,21908174.6119355,20173681.2830624,18076183.6979707,20661685.0254208,24399870.5532447,22811892.1980752,24845211.6426538,18454652.4258263,18447929.3219019,19597167.2703503,22166894.2106466,19661395.0990381,18163939.5523956,31283692.866653,17065391.629127,18177654.804791,16261579.83173,15441239.8138389,17745919.2373258,23508688.1665898,NA,17278123.6232392,19963660.621915
"C8-Pos-002038","1-Palmitoyl-Sn-Glycero-3-Phosphocholine","C24 H50 N O7 P",440601894.260986,486866965.850525,479684070.508691,599157462.954647,502344953.067378,188900112.3782,353106152.981674,188934728.260059,608950856.901047,384750849.85829,332081101.98119,320502267.8629,339086079.777593,215658874.282684,255425880.221457,375521467.433829,392980116.476175,411255517.587902,740663551.701308,352970828.038909,325383064.259924,387253713.231034,419953724.38989,518069440.559768
"C18-Neg-002092","1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine","C23 H48 N O7 P",131199.80379553,183303.705470687,44730.3094556844,149498.809584962,124601.741005594,NA,NA,42018.4417602422,NA,30308.6982029353,44564.6603336682,26979.2632425644,43820.9850353282,26470.6598576764,37812.8851915666,32609.0773359841,93966.393162501,104604.583715804,16576.7912678169,49479.2641173634,52134.3012883715,61238.6462189175,NA,93234.4128665828
"Amide-Pos-002257","1-Stearoyl-2-Oleoyl-Sn-Glycero-3-Phosphoethanolamine","C41 H80 N O8 P",935023.79260241,1271975.83087172,469553.551554765,1295233.590064,619362.04022107,673735.026084119,816850.850625581,719396.967844174,554499.315673133,262978.675094988,293541.891691376,122183.610117107,240249.808013341,281215.807453491,193039.551511146,170512.404516895,458351.774883796,714681.927658761,1641119.25913714,119993.201395991,268037.492217253,286978.473838086,934895.854561134,521753.377000163
"C8-Pos-000832","1-Stearoylglycerol","C21 H42 O4",832838670.047547,857817184.603498,826504547.466934,636633307.485097,800727418.513551,816060714.448244,807820697.962599,680938850.663211,835007818.339327,902513971.2985,966693177.174474,1057785873.87183,735879906.747295,972637436.960481,808607790.885139,803165867.362398,817082745.755974,1024677774.48326,868948564.151295,907785772.952687,1092115012.75186,824402133.518607,1025110096.23177,961980953.89422
"C18-Neg-001407","1-Β-D-Arabinofuranosyluracil 5'-Monophosphate","C9 H13 N2 O9 P",NA,NA,NA,9548580.92420322,2227691.69794931,NA,3384982.96180799,16307332.3388091,NA,6876094.70937042,NA,NA,4357553.58535012,NA,12697459.2895798,7927942.30921677,5687873.11071524,13288544.5287874,2348407.12719087,11676459.1636154,1773736.06366688,NA,NA,NA
"C8-Pos-000642","16-Hydroxycleroda-3,13-Dien-15,16-Olide","C20 H30 O3",342495.409377265,611064.904887231,377253.045192702,453417.131144217,447811.908646811,489787.368929075,390701.315350775,434031.627637262,499827.751182125,379795.574927525,413301.656347078,398864.995550652,485901.786276192,405666.811006247,380053.39437359,435367.492367688,416637.499162561,294550.429616805,303167.962007887,389273.075831831,399636.34701734,285876.19823737,316135.96465625,347901.304361732
"C8-Pos-000495","17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One","C21 H32 O2",708934.342834679,1022133.84208386,511010.95531731,1470383.10912374,1153073.8169755,626672.745249433,401524.534336149,8175702.6171952,805250.374682197,410141.247255019,229198.974268931,654965.735574371,1102560.14827824,14999608.9869477,9699133.19943379,310434.524199872,157760.048691376,522498.02816578,955760.604899315,1133895.60506179,586850.43265137,202425.85867096,1128357.80598686,1833900.99416304
"Amide-Pos-000303","1h-Imidazole-1-Acetic Acid","C5 H6 N2 O2",1286676.01911799,1653889.96599707,370422.096715662,514798.178712254,208779.764123388,344357.094858839,474608.575083518,478008.571037096,139579.089367124,167922.671700185,861640.922574892,NA,695222.853392088,428429.090541787,NA,NA,519250.942920463,518485.35577968,215982.411513386,NA,NA,NA,601774.574103504,752392.829722406
"Amide-Pos-000996","2'-Deoxyadenosine","C10 H13 N5 O3",4242029.09407143,9641330.68343405,4882889.31233442,8623410.78979326,9827131.53786121,2744536.92758241,3584670.31781095,3068742.71738294,8327835.97383663,5087445.27869427,3753479.49969639,5982221.77140271,826274.959161884,6121018.62487976,8301089.28330451,7505264.84448014,5966320.84955064,6707258.03954933,6565896.92981486,5296617.17082033,10705450.3142744,4614508.98953446,8026483.75261593,12029371.5313523
"C18-Neg-001640","2'-Guanylic Acid","C10 H14 N5 O8 P",NA,7517290.09437363,3459335.86584084,9903052.7274054,3126046.76077004,6243595.98993118,3691841.25164478,10157821.4752316,10329827.6794625,9924309.89493263,2744831.82239902,NA,4625269.77629276,10104279.6860871,9773807.75837029,6661404.72688377,8452867.19851571,9791140.6340915,5006550.22404426,18886540.2598038,1201458.62678157,4897606.72136414,5263937.50068946,10347984.7402699
"C8-Pos-000764","2,3-Dihydroxypropyl 13-Methyltetradecanoate","C18 H36 O4",NA,45290.6868471343,77233.1442899449,NA,NA,17932.0170594707,39645.5113293975,34611.1785328964,21068.1735558937,NA,NA,33751.3107950535,NA,26279.0806640604,NA,NA,NA,NA,46964.238777559,NA,NA,23917.0759758899,15583.9454111424,51470.1000864992
"C8-Pos-001637","2,5-Bis(5-Tert-Butyl-Benzoxazol-2-Yl)Thiophene","C26 H26 N2 O2 S",2370181.76340668,6184516.6479098,8747546.50735774,9344256.70712709,8369842.06865169,11915205.7313433,8827324.39883978,6313630.47867831,6185543.64666394,7310245.87656641,8957662.25661852,7970774.95171629,3865422.49216285,4904396.55031285,2164648.88769702,2153338.81187006,2973736.70169993,2556280.06611894,1587124.22598813,2580372.80251013,4279837.28676877,2743956.83705314,2404498.60675517,4645857.15748865
"Amide-Neg-000141","2,6-Dihydroxypyridine Hcl","C5 H5 N O2",1866636.36700209,2575485.32916377,1252333.70665587,2556415.57709269,3019959.25820601,1943132.32867253,2408112.21875508,2557039.44914911,2604315.57530267,3313045.50538362,1655007.30842982,1696520.32102334,2414248.74218309,NA,2766400.33590242,2386614.92977558,2482090.02282761,3350497.33332985,2725784.58355255,3152716.87949677,2610276.80034684,2625602.73764666,2943310.60050883,2856578.15981606
"C8-Pos-001809","2-(2h-Benzotriazol-2-Yl)-4,6-Bis(1-Methyl-1-Phenylethyl)Phenol","C30 H29 N3 O",199589.791864612,156324.016487061,179915.456112318,185588.549049284,217801.969333491,203652.895247905,211169.578873892,187373.771210028,153047.382369674,209063.540770561,164675.831858472,157072.629400973,163556.808085791,195300.644114234,181471.556326137,175328.20461909,124041228.979849,19503629.4540169,4397344.83755409,1423563.98633856,450018.822515345,370316.587849449,281948.430704333,294704.802996566
"C8-Pos-002923","2-(5-Oxovaleryl)Phosphatidylcholine","C29 H56 N O9 P",732110.986100914,921203.584226078,837889.825513181,1133544.40576947,895566.593049427,994899.715899024,991252.255398132,836003.70752649,1619786.56190254,1153420.84829058,745765.847662942,613355.636180847,1005986.6329239,768567.793751904,784745.670533533,1001762.23627772,757325.563345656,885738.32691464,686628.994461354,776073.457377678,890331.069787361,763380.905551918,1074981.3218368,762959.353803793
"C18-Neg-000965","2-(6-Hydroxy-1-Methyl-2-Methylidene-9-Propan-2-Yl-5-Oxatricyclo[5.4.0.03,8]Undecan-4-Yl)Acetic Acid","C17 H26 O4",661616.039775972,713195.955075551,779598.666938222,688274.768050445,671466.882281938,764153.794275871,761570.128858194,706497.379862709,728700.287933574,690032.639259416,716462.414180884,711340.390758301,666610.462824256,748923.272063544,724346.983270836,675864.995807263,712205.428874823,720047.094754195,686023.488678511,697174.267901225,688060.402802812,693964.244019762,717305.319245801,730028.929678427
"C18-Pos-002507","2-(Alpha-D-Mannopyranosyl)-L-Tryptophan","C17 H22 N2 O7",3077162.4056795,NA,3035953.31298501,NA,2656699.75708707,2473829.21576818,4371771.78219422,NA,4493757.51958655,NA,3055585.55729396,2633383.29064936,2296668.18039556,2766922.38556568,NA,2920410.68775465,2558331.02225463,3048178.78900097,4575469.18409087,3724297.9225165,2603025.8161688,2119267.69462272,4147435.61806708,3662646.10424212
"Amide-Pos-001270","2-Acetamido-N-Β-Aspartyl-2-Deoxyhexopyranosylamine","C12 H21 N3 O8",400960.947758584,484149.95487727,300911.822120166,531750.160411118,275728.407347503,309192.577310741,406773.113528864,116697.364272991,382899.000469636,408264.680813253,317075.007299515,222114.588771433,252841.239391454,266691.977599256,291881.889119172,259288.824322129,300921.794795209,417502.818288846,345502.204105807,364529.178664143,251558.088709369,317058.436270357,314433.514411689,470076.411865974
"C18-Pos-000695","2-Aminocaprylate","C8 H17 N O2",63947.6016399331,304054.535253674,203528.551484843,112005.263610639,148101.658695607,186556.424643557,274941.361883538,46512.9593640262,269104.347086767,165415.735452999,109726.121472964,123687.417745248,58607.4729977431,138861.208256868,92340.2337819697,59427.7067346659,44691.5291292456,156348.335318863,108340.751829093,631434.357185081,58542.6953275034,65909.6347035437,114287.05282955,12969.1979873398
"Amide-Pos-000144","2-Aminoisobutyric Acid","C4 H9 N O2",2738754.15835257,3151408.31609489,3453672.66876318,4569174.79356381,4470570.97274193,2804395.30569007,3365356.87626243,3205078.20737648,4192348.76657757,3730614.37809852,6339248.60748636,6338590.35458026,5265526.03243632,2451260.77009556,4136483.05162563,3831653.48101801,2601086.13766008,3918359.04764291,15826983.9438905,329629.914426139,5876458.62823466,3437979.52509728,3787227.10470703,4307447.74135696
"C8-Pos-001012","2-Arachidonoyl Glycerol","C23 H38 O4",13258308.0780256,33582265.4432138,16854844.7274288,11742776.6075829,28672629.6951594,10480243.9620506,35084759.4569312,8197248.60951907,7739351.0887676,13587518.7515153,8064352.70502497,30869153.342746,4929319.77166324,10911621.8349642,12875859.5644983,11925105.6554946,11336411.1421986,11853211.2826663,34842052.446036,5938696.46707627,10534739.1796239,18256518.1546566,26617764.5731667,18351771.1604446
"Amide-Neg-001061","2-Deoxyribose 5-Phosphate","C5 H11 O7 P",6084728.22764524,5199477.69975364,6712367.8342206,3057214.96806743,8102675.7440374,6997001.72647579,7006546.29945148,NA,4153793.15559784,NA,NA,NA,NA,NA,8494269.77813011,NA,5901437.23257443,4938434.21339795,5136940.33786347,2108498.03097878,6491092.56987378,7537198.38391176,5717292.75281414,5932462.6167166
"C8-Pos-004831","2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine","C46 H78 N O10 P",31058099.9540915,34723384.905885,39453356.7876779,26341408.8936775,15087416.6156158,33705241.2399098,10595013.4761622,NA,44951205.3624752,124529560.066916,98222997.3266759,161249093.236397,NA,NA,33841760.316375,91784986.844617,NA,NA,128781370.922544,134752505.28246,72620808.5444351,59037307.5281304,41341469.1908469,NA
"Amide-Neg-000149","2-Furoic Acid","C5 H4 O3",1628427.9960881,4039168.52879065,630582.520124817,2412736.02165309,4082363.24613188,2180234.56465301,3927296.96857703,2559560.69108078,2109481.75917691,1104922.32598176,879300.119458003,1447294.12671714,1257386.06930371,12251084.9069022,1777324.11347768,1016834.04575606,3080210.32890749,1069051.35379545,5478070.41929139,1793197.47948224,2926573.13604119,1604456.0211497,NA,2338795.52503897
"C8-Pos-000610","2-Methyl-5-{2-[2-(4-Methyl-3,6-Dioxocyclohexa-1,4-Dienyl)Ethoxy]Ethyl}Benzo-1,4-Quinone","C18 H18 O5",740544.263137362,825429.020119521,2110079.8689768,688333.900883707,1691460.64949233,1409565.73683339,825664.98076978,675411.977435876,1080034.26978646,853033.002901257,941471.10052068,981260.407122463,1200493.00643338,670096.061575086,865136.920563108,946902.495093635,1061605.25392474,618827.637586142,684123.321022767,1160295.12971256,1048743.35752062,694803.805116189,736316.819392187,682224.820080613
"Amide-Neg-000432","2-Methylbenzoic Acid","C8 H8 O2",284674.757783482,1028880.23400956,913062.933570375,766430.036013653,1846390.6797457,NA,1804919.07794913,1080094.02205769,1081330.77247231,780206.895292628,459687.637393726,1120202.37739916,476168.342262343,1184739.70702969,432332.203334393,285838.27696772,664863.287877038,499849.584641583,748134.122306104,568433.270850636,791822.777626952,390768.271900961,481816.378301305,967310.487317966
"Amide-Neg-000333","2-Methylsuccinic Acid","C5 H8 O4",256765.688400427,242674.84578904,246275.901950823,364118.570115059,111806.077646032,54207.2482882444,285698.388447815,529508.252299961,NA,NA,101874.482854259,285169.804786577,261056.532117875,633759.193519157,329941.719469769,166489.523367611,149243.472469507,263727.004402383,487168.012964169,NA,183222.845937777,184503.719231183,249912.644385906,305743.627569125
"Amide-Pos-002276","2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine","C42 H82 N O8 P",24041799.2571004,39406437.7409352,19888164.8315731,37408994.3162576,31304257.5495183,14478068.8292311,25259659.5306671,16633749.926915,9677596.61683086,6999571.23914651,7175913.61339513,6498340.67584555,7450822.0731126,8436835.56098989,9425594.00333962,6015554.79598889,22905982.8943388,40933129.8822482,97239265.846986,8995801.96424644,15884906.3041101,19758260.8900747,57585936.6339994,32519548.4593478
"Amide-Pos-002283","2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine","C40 H76 N O10 P",390108.457321573,759836.622746365,446079.523784573,763658.729544929,478136.708647899,520501.935172404,576639.879216407,400457.302686965,428087.985004566,242257.083430202,265916.245814736,270083.734917885,179387.71339342,208238.674983695,361596.219196858,154746.260037715,789437.48259532,834192.355152485,2070291.64671447,359345.74644295,386819.132247625,377391.255585237,1642025.6557924,603211.774619009
"Amide-Neg-002264","2-Oleoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine","C42 H80 N O10 P",52678.349116611,191234.431929319,5802.2049800549,61131.8225928147,146603.599004736,77729.6758399402,117556.210391481,122440.305048104,69464.8158815303,NA,NA,21399.2644787202,29861.31729962,49019.8947824616,43133.9508360262,4866.96325772931,104658.793650006,106735.77257541,398348.779446877,41681.4707818163,86080.2858565336,60525.0865888332,207279.96574845,61558.7047149848
"Amide-Neg-000587","2-Oxoadipic Acid","C6 H8 O5",900281.422523846,1172697.45590488,640106.167849945,1285581.58786195,1443031.11903632,1244510.65092336,1455070.76623118,1335950.50775604,1287841.47192475,1296958.04130779,1031800.34034818,842351.371110486,922600.638550337,1529377.98019096,1174107.84045239,989704.273686321,1420611.41458861,1396829.26179771,1460644.67976999,1485010.7374267,1344361.38976653,1121921.58444182,1330414.03940904,1514547.15408202
"Amide-Neg-000108","2-Oxobutanoic Acid","C4 H6 O3",894604.02794307,2686921.94148529,NA,NA,4673963.45386292,NA,3511911.98607732,NA,2561891.26774606,2241848.03660966,268176.471414794,1229954.72666904,NA,NA,1791531.19328561,747506.840759815,2897321.74803032,1392782.35214865,3265561.88583338,3511369.05336352,2935305.43598582,2030516.03139894,NA,2106776.98602333
"Amide-Pos-000902","2-Sc S-(2-Succinyl)-L-Cysteine","C7 H11 N O6 S",178772.058354778,178599.177621954,201066.274820767,233924.810241276,123282.558788692,214364.406749329,225558.243796965,181532.669782423,267109.329182291,176745.628953489,199864.427394805,137110.412519542,119426.543920465,144369.075496074,173217.493624044,137564.213192662,224964.764071235,262893.848129202,468266.171398169,222144.803284172,144155.460257313,207813.092986967,217228.928821272,283634.217474118
