"Compound.ID","Name","Formula","Sample01","Sample08","Sample09","Sample10","Sample19","Sample20","Sample32","Sample35"
"C18-Pos-001422","(2r)-3-Hydroxyisovaleroylcarnitine","C12 H23 N O5",NA,NA,17089.3257030092,NA,53334.5366538079,63142.6320964166,3827748.83264337,NA
"C18-Pos-000888","(2s)-2-[(2-Azaniumylacetyl)Amino]-4-Methylpentanoate","C8 H16 N2 O3",414286.912382751,453545.166197802,171358.087283442,683652.20022741,NA,244242.728868707,493090.549714702,402362.913852071
"Amide-Pos-000872","(R)-Butyrylcarnitine","C11 H21 N O4",3541789.45858666,6298055.33042369,2347394.27577951,2064846.40757586,2181748.72228642,1243465.56828828,3579370.77128202,3045474.46514656
"C18-Pos-001415","(R)-Pantetheine","C11 H22 N2 O4 S",27124.5393924805,27424.3359913896,NA,13468.7298797736,NA,9781.2787185935,20631.4897058799,NA
"C8-Neg-000383","(Rac)-Idroxioleic Acid","C18 H34 O3",693923.058413636,1155254.62852433,680087.062529146,775654.258008738,1457694.69987785,648318.05835138,816091.754483862,1298082.53990454
"C18-Pos-000738","(S)-(-)-Perillic Acid","C10 H14 O2",104456.358728927,NA,NA,571963.112205319,228160.310548354,NA,199040.300285755,NA
"C8-Pos-000844","(±)15-Hepe","C20 H30 O3",30803.1648295106,12174.9415868896,NA,406381.711328303,40503.6417320169,10816.9873508916,NA,50720.935068343
"C8-Pos-000501","(±)5-Hepe","C20 H30 O3",73870.9021299108,358885.686654351,151442.350746633,669804.637121074,199163.951194291,423513.614502409,436036.284631043,NA
"C8-Pos-004898","1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine","C48 H92 N O8 P",15946449.5022643,26502939.0684149,3650361.30166579,3174195.79282973,11420301.4117836,1817978.16952378,4998660.2639304,13929031.5461992
"C8-Pos-003474","1,2-Dimyristoyl-Sn-Glycero-3-Pc","C36 H72 N O8 P",810837398.845753,1326571582.55694,438738384.273295,259445709.576361,906747686.555837,381916292.346332,810956995.209726,948239947.180484
"C8-Pos-003221","1,2-Dimyristoyl-Sn-Glycero-3-Phosphoethanolamine","C33 H66 N O8 P",1115149.50871105,1480359.81649098,520487.73161506,447868.589420701,749463.127353441,444437.895406738,518806.607282599,1095172.59444155
"Amide-Pos-002307","1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine","C44 H84 N O8 P",1521912.85723687,1068706.50773225,385343.585509727,NA,642647.015101818,579475.060742741,1382144.18777461,523368.581723272
"C8-Pos-003852","1,2-Dipalmitoleoyl-Sn-Glycero-3-Phosphocholine","C40 H76 N O8 P",NA,120565.297322376,14665.5259126621,153919.205314019,101146.133777324,5761.73314574515,NA,44605.6863282264
"Amide-Pos-002176","1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine","C38 H76 N O8 P",2044969.56035365,5536967.03223276,468664.491155863,460110.486200967,1560302.84940483,2860774.62293758,3229819.90923723,680024.470352261
"C18-Pos-000931","1,3-Benzodioxolylbutanamine (Bdb)","C11 H15 N O2",659232.141497251,NA,NA,NA,NA,10533313.3502708,13234208.7833611,1033902.46830833
"C8-Pos-000033","1,3-Diphenylacetone","C15 H14 O",1549735.64593242,2023401.45556955,912559.521512815,846196.382094363,1870445.31536882,1319983.07642729,1621355.50233966,928292.962935954
"C8-Pos-004250","1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine","C44 H86 N O7 P",11447638.904534,8877175.28010861,7716376.14620678,7493988.73569925,10922025.7599365,6226059.34775329,8217222.3602792,10748515.6930506
"C18-Pos-003970","1-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphoethanolamine","C23 H46 N O7 P",519698.829823552,353543.757081602,432500.084707189,255342.573501902,392914.086040588,234006.12927492,421420.827040206,268423.140469386
"Amide-Pos-000091","1-Aminocyclopropanecarboxylic Acid","C4 H7 N O2",7265590.92035736,7562437.38143724,4848704.99250579,3156220.88961236,5781361.47318434,6125708.42849879,3409571.76396377,4402320.87509105
"C8-Pos-004336","1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine","C44 H80 N O8 P",255165.623079486,NA,217361.310177947,NA,1565172.78561511,NA,NA,223048.090826534
"C8-Pos-004099","1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine","C42 H80 N O8 P",NA,261022.20718602,213106.224765271,NA,664538.872664815,281273.123762507,829770.495160398,438174.329173031
"C18-Pos-003617","1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine","C21 H44 N O7 P",313383.61542148,448484.912643127,242496.597269228,165185.065779439,307945.797761306,209773.461458624,256594.926343309,141417.833710068
"C8-Pos-000787","1-Linoleoyl Glycerol","C21 H38 O4",15405995.6053971,21876419.2542169,11541725.1469024,8989980.00375944,14709733.9509162,8303197.22936714,11403883.6487831,18179310.8210478
"C18-Pos-004537","1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine","C26 H50 N O7 P",584074.585317062,213968.55319603,392964.508496139,120523.179346039,264382.154735183,104789.767866317,127794.672508085,325265.395198803
"Amide-Pos-001132","1-Methyladenosine","C11 H15 N5 O4",14102983.7804714,2084419.884404,7237457.14144274,6290618.53614981,3306296.01383948,3773353.64611477,16131021.5943055,11685637.6815145
"Amide-Pos-000599","1-Methylhistidine","C7 H11 N3 O2",1623786.05410672,988000.183815834,482556.563763412,1249235.46493887,3204321.98242107,1066795.07718836,3104731.7261947,954336.153510386
"Amide-Pos-001742","1-Myristoyl-Sn-Glycero-3-Phosphocholine","C22 H46 N O7 P",838895.251376679,1079700.78685361,1258710.79563092,487539.632936429,495740.233346907,834914.997878467,751959.800235527,524955.122140695
"Amide-Pos-002309","1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine","C44 H86 N O8 P",2324763.76970567,1842521.37303926,483660.196061968,347917.175592631,935227.016738791,858186.867177927,1505796.95737238,635302.14623948
"Amide-Pos-002228","1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine","C40 H78 N O8 P",5462970.46110105,6610469.91942257,2153740.75359179,1292285.80667576,4675400.41284612,4781920.03729065,NA,2008732.66885502
"C18-Pos-004585","1-Oleoyl-Sn-Glycero-3-Phosphocholine","C26 H52 N O7 P",3667806.82028933,6706357.63177806,3777539.48012338,2414293.04125932,3666257.76583656,2257462.86386568,2948999.55567054,2589040.43618762
"C8-Pos-004574","1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine","C46 H80 N O8 P",16623967.5736026,11985937.4037722,10611013.078053,9653444.60982144,NA,NA,NA,11330023.9852322
"C18-Neg-002016","1-Palmitoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine","C21 H44 N O7 P",NA,NA,NA,26634.338502804,NA,7936.21191900244,24612.9597609436,5808.03660155711
"C8-Pos-004105","1-Palmitoyl-2-Linoleoyl-Sn-Glycero-3-Phosphocholine","C42 H80 N O8 P",810649.014991775,547310.830467156,115772.198733411,NA,819902.003584492,36537.8742199613,650715.899741913,NA
"C8-Pos-003761","1-Palmitoyl-2-Oleoyl-Sn-Glycero-3-Phosphoethanolamine","C39 H76 N O8 P",NA,1817643.96985637,1654618.8000887,NA,1936016.74308502,1062858.76067473,1518563.26141423,NA
"C8-Pos-002038","1-Palmitoyl-Sn-Glycero-3-Phosphocholine","C24 H50 N O7 P",166490377.832557,683444702.430105,116456634.123235,60217021.8882222,219859018.049373,55561636.6879064,116303335.184939,219049485.178333
"C8-Pos-004814","1-Stearoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine","C48 H84 N O8 P",8700177.29654403,6641052.26601275,5760234.89901355,7329851.08835957,5395649.37770366,5448027.85278686,6069997.04997748,6066646.62484883
"C18-Pos-004624","1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphocholine","C26 H54 N O7 P",1235994.14720241,3075073.36445292,710128.471596685,550810.387236814,1468628.04120629,807999.857815369,940720.630893893,391209.468560505
"C18-Neg-002092","1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine","C23 H48 N O7 P",37297.1159965248,54307.148583815,20091.3128840048,31103.7231590051,56153.2716155531,8234.15735940797,41600.620741654,5291.5317508127
"C8-Pos-000832","1-Stearoylglycerol","C21 H42 O4",3675118375.43185,5453984069.58428,2257987549.42227,1078787629.67271,3946040405.95192,1402394494.2647,3359985572.91616,4534486297.83586
"C18-Neg-001407","1-Β-D-Arabinofuranosyluracil 5'-Monophosphate","C9 H13 N2 O9 P",1322689.11129569,582909.273009348,399436.334505485,817946.004092304,NA,772254.061844685,NA,NA
"C18-Neg-000365","10-Hydroxydecanoic Acid","C10 H20 O3",65983.4508789001,73318.661687196,54269.0782967575,87167.4460811023,73943.9262376427,57677.7704243015,76341.1990993961,76865.2671478454
"C8-Pos-000642","16-Hydroxycleroda-3,13-Dien-15,16-Olide","C20 H30 O3",551571.753702536,593731.060588784,506247.504045684,576859.090532502,616480.148197317,417599.309740207,508078.112717197,622912.15325331
"C8-Pos-000495","17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One","C21 H32 O2",364572.652283181,2172956.84237009,1170408.27283621,479884.874222482,1062102.88944304,255626.434758322,296539.714191248,5847080.43853442
"Amide-Pos-000996","2'-Deoxyadenosine","C10 H13 N5 O3",529661.805876589,564165.51578553,NA,1703268.82216742,NA,777117.829725144,1171861.32961917,415672.138741559
"C18-Neg-001641","2'-Guanylic Acid","C10 H14 N5 O8 P",2280762.48904205,781069.178893183,672428.804162076,1611935.14872477,2329980.89984262,726249.996110233,NA,NA
"C8-Pos-000764","2,3-Dihydroxypropyl 13-Methyltetradecanoate","C18 H36 O4",99748.7191486718,79060.6965993553,283908.940873683,263079.121538673,107756.516431662,216883.653834556,334623.558208352,111003.844158663
"C8-Pos-001809","2-(2h-Benzotriazol-2-Yl)-4,6-Bis(1-Methyl-1-Phenylethyl)Phenol","C30 H29 N3 O",143384.633507918,NA,65835.4390758393,190583.393413992,135693.558019611,78536.8044952613,NA,41515.461825402
"C8-Pos-002923","2-(5-Oxovaleryl)Phosphatidylcholine","C29 H56 N O9 P",767878.421017598,1886015.44868481,479469.246983033,301164.302132741,1048397.99190292,330663.336951875,750709.848722004,901282.902974591
"C18-Pos-002505","2-(Alpha-D-Mannopyranosyl)-L-Tryptophan","C17 H22 N2 O7",NA,3432908.71282669,NA,2834796.08213547,4778.6180636615,2953617.48349161,5238870.57007238,4169.77668406706
"Amide-Pos-001270","2-Acetamido-N-Β-Aspartyl-2-Deoxyhexopyranosylamine","C12 H21 N3 O8",336167.169496807,798154.869382752,438017.062440484,525902.340216325,791053.896562142,553412.603621495,761483.431534514,473336.667739894
"C18-Pos-000695","2-Aminocaprylate","C8 H17 N O2",296930.631633579,233340.990168581,191659.889507772,54080.6475200596,209826.397036041,62525.4877009435,133899.211741855,26402.6256923203
"Amide-Pos-000144","2-Aminoisobutyric Acid","C4 H9 N O2",4149673.93378944,NA,4582358.33645169,5015391.97706386,1552316.86838574,7169039.1922663,7684741.832626,2389422.75870253
"Amide-Neg-000855","2-Aminooctanedioic Acid","C8 H15 N O4",124609.757101427,125592.711227729,116603.24535557,231395.425211873,234268.028443776,32498.4867018094,73149.2994725562,152294.717724119
"C8-Pos-001010","2-Arachidonoyl Glycerol","C23 H38 O4",18817853.3177301,34178487.0979428,3424692.25978644,3116340.00868347,13966156.7239973,13643829.4722436,30083601.3792289,13531696.63137
"C8-Pos-004832","2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine","C46 H78 N O10 P",583951.617933293,6938760.72912288,642731.501044058,NA,2143360.43482326,1463250.83917618,704927.614208633,5465266.33930791
"C18-Pos-002886","2-Ethyl-N-({(2r,4s,5r)-5-[6-(2-Furyl)-2-Methyl-4-Pyrimidinyl]-1-Azabicyclo[2.2.2]Oct-2-Yl}Methyl)Butanamide","C23 H32 N4 O2",104251.47316748,40915.2656515291,122691.356212857,87000.035450968,72549.9883799912,28295.854966718,93767.5119241637,88154.9544664009
"Amide-Neg-000149","2-Furoic Acid","C5 H4 O3",1629341.63922569,8727282.5162323,4097352.49172494,9482964.97663546,8129650.60288405,4252430.72091886,9319048.88070993,1375079.5981045
"C18-Pos-001000","2-Hydroxy-3-Methoxy-4-(1-Methoxypropan-2-Yl)-2h-Furan-5-One","C9 H14 O5",288752.612651095,521408.537221969,247414.998573092,353682.476947398,475791.24678786,376697.567623561,624193.321861575,496528.739756262
"C8-Pos-003742","2-Linoleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoethanolamine","C39 H74 N O8 P",4025219.02790642,5777571.61651856,2757980.95122586,2808669.01125987,3995036.8575348,2449236.16125271,4209316.6553992,4327642.72235807
"C8-Pos-000610","2-Methyl-5-{2-[2-(4-Methyl-3,6-Dioxocyclohexa-1,4-Dienyl)Ethoxy]Ethyl}Benzo-1,4-Quinone","C18 H18 O5",137572.784843753,137304.150847312,105443.860858881,280361.818487147,139265.232937757,104555.332484595,104095.50534785,98904.7091931956
"C18-Neg-000138","2-Methylglutaric Acid","C6 H10 O4",NA,149032.065483558,282768.454249243,378447.565778228,NA,114835.540030854,207608.921992246,303398.067182756
"Amide-Neg-000333","2-Methylsuccinic Acid","C5 H8 O4",301331.163216453,934358.257337349,120876.443745317,375826.806828561,438908.465431078,160410.49981616,718166.849402449,329656.605185666
"Amide-Pos-002281","2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine","C42 H82 N O8 P",NA,16376488.4766345,4039964.1101326,2623852.6091447,12030623.3422732,7865009.85796661,10548375.5509586,4575464.77556708
"Amide-Pos-002283","2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine","C40 H76 N O10 P",807255.266134598,2238924.48969739,388145.342662878,438476.392338853,819283.407980437,824591.35261854,814083.288735478,657260.12465827
"C8-Pos-004420","2-Oleoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine","C42 H80 N O10 P",70406500.2294859,61535480.4875395,10569022.3571846,7517407.9399226,42106560.2071063,2165113.33838168,26188588.9975795,47006750.0694263
"Amide-Neg-000581","2-Oxoadipic Acid","C6 H8 O5",332515.855963479,198645.026326946,128808.79599878,355016.871264876,254302.000567036,274191.291419675,3836814.65752283,229041.394437369
"Amide-Neg-000108","2-Oxobutanoic Acid","C4 H6 O3",NA,NA,NA,2502951.04992089,1304304.49161038,446236.086441042,1657913.42248464,1799248.53565624
"Amide-Pos-000901","2-Sc S-(2-Succinyl)-L-Cysteine","C7 H11 N O6 S",227731.239938514,443186.172470643,166527.681701879,212914.596272982,374503.834024937,196953.278977028,374323.347797385,261222.49281338
"Amide-Pos-000396","2-[2-(Dimethylamino)Ethoxy]Ethanol","C6 H15 N O2",6516480.65639331,4546014.8957668,6748736.58075832,5919800.36155309,6631309.81152283,7026409.50189107,5268564.74336962,4760416.90247798
"Amide-Pos-000094","3-(Ethenyloxy)Propan-1-Amine","C5 H11 N O",6664558.53472511,6361919.9627695,5136914.85104342,4764084.2064881,4909247.66803382,2606534.16792184,5258584.76170758,5612254.93187361
"C8-Pos-000955","3-Hexadecyl-4-Methoxy-5-Methyloxolan-2-One","C22 H42 O3",1359585.77909136,2087313.980257,658341.537929128,708139.729978234,1628241.83935321,549197.086829084,866262.592303627,1630276.16101279
"Amide-Pos-000918","3-Hydroxy-1-Methyl-3-(2-Oxopropyl)Indol-2-One","C12 H13 N O3",352820.796770956,1003374.69182918,60906.0923020155,568133.482691953,1028735.14853422,403869.591242218,1962639.2440085,320676.850728266
"C18-Pos-000530","3-Hydroxy-4-Methoxy-2,3-Dihydropyran-6-One","C6 H8 O4",NA,8665327.25041728,NA,73077.889167207,NA,526999.404788244,887875.814876555,4092511.96915189
"Amide-Neg-000118","3-Hydroxybutyric Acid","C4 H8 O3",1228206.80353957,1313097.98300441,2943275.32057175,10153137.0834704,3175965.98105574,1438910.14559384,1722137.23058105,5445054.59217999
"C18-Pos-001341","3-Hydroxybutyrylcarnitine","C11 H21 N O5",59212.0709276778,NA,NA,9242136.43314246,NA,2447869.86071507,5304244.59065548,NA
"C8-Pos-001621","3-Hydroxystigmast-5-En-7-One","C29 H48 O2",505819.132840314,538279.199676387,308160.207443904,393533.497160338,484477.593141487,453725.480719154,448585.432997641,376746.902774808
"Amide-Pos-000244","3-Isopropoxypropylamine","C6 H15 N O",21267786.3646717,12073174.9982157,15545647.4544828,14254320.5503276,20282837.9047487,23731887.433535,11285959.6225776,11290932.8134755
"Amide-Pos-000602","3-Methylhistidine","C7 H11 N3 O2",3387235.15468321,1404772.02963206,368527.360442042,842572.995291557,1105353.28115148,737517.813086155,582859.213838699,558710.737428743
"Amide-Pos-000260","3-[(2-Hydroxyethyl)Amino]-1-Propanol","C5 H13 N O2",NA,1708899.73047103,4385952.35559113,3940434.50118595,4790116.9705247,4120590.88267029,2681165.19311703,3703467.69286951
"C8-Pos-000009","4-(2-Aminoethyl)Benzenesulfonylfluoride","C8 H10 F N O2 S",908446.055585053,37455548.1289769,3345670.76739076,4686.58411648866,738864.114680019,520589.578021815,170623.205218635,154154.069936627
"Amide-Pos-000570","4-(2-Hydroxyethyl)Benzene-1,3-Diol","C8 H10 O3",38477.945554133,53671.6453753941,15116.5708485074,33520.9136830323,19883.4835132305,29437.7172478254,9538.57073778729,136305.312974839
"Amide-Pos-000904","4-(2-Hydroxyethyl)Piperazine-1-Ethanesulfonic Acid","C8 H18 N2 O4 S",2195044.52118567,149429.145861243,4410190.48339121,60808.5931794866,NA,NA,1679238.75784605,3151691.76703753
"C18-Neg-000131","4-(Acetylamino)Butanoic Acid","C6 H11 N O3",131615.086046351,531306.264589916,395293.749927587,656748.989333206,NA,NA,NA,NA
"C18-Pos-000543","4-Acetamidobutanoic Acid","C6 H11 N O3",NA,NA,1694196.78553407,2939470.37590497,1221460.48535888,84832.4551219529,4008487.89140064,2667849.23631362
"C8-Pos-001064","4-Cholestenone","C27 H44 O",1146162.22839518,2294748.71949739,741037.930943575,357100.380310302,1337661.59097776,563641.771893758,876203.135175361,1025273.12840541
"C8-Neg-000519","4-Dodecylbenzenesulfonic Acid","C18 H30 O3 S",891743.925193432,2286922.32461163,740376.819098491,902352.536611625,2533726.28917444,581089.572886898,801441.540069364,1424998.37139845
"C8-Pos-000612","4-Hydroxy-6-[2-(2-Methyl-1,2,4a,5,6,7,8,8a-Octahydronaphthalen-1-Yl)Ethyl]Oxan-2-One","C18 H28 O3",900900.410258217,1297532.58079027,701764.564119951,487563.444017299,827034.465179636,1004081.46628892,948055.134517904,685587.278096094
"C18-Neg-000267","4-Oxononanoic Acid","C9 H16 O3",38871.9791713218,NA,NA,55209.5461775987,1893.10825310643,NA,39761.9007571598,NA
"Amide-Pos-000314","4-Piperidinecarboxamide","C6 H12 N2 O",2965916.22050176,1591507.89679765,1213707.39244865,5038881.39911749,7540663.45160451,2511766.0882529,4737859.20258894,1839450.43734989
"Amide-Pos-001290","5'-Cytidylic Acid","C9 H14 N3 O8 P",1315669.75703457,4428847.40875499,2593725.99818285,3263877.95504126,3913750.33578681,NA,5589975.03505445,3707765.20840567
"C18-Pos-001730","5'-S-Methyl-5'-Thioadenosine","C11 H15 N5 O3 S",23590852.9155454,7970.486122076,NA,15199104.6581529,14938.6442740485,6639.55211183829,20867754.6502537,NA
"C18-Neg-001235","5,5-Dimethyl-2-{[(2-Phenylacetyl)Amino]Methyl}-1,3-Thiazolane-4-Carboxylic Acid","C15 H20 N2 O3 S",422862.86011324,98193.4250960479,490176.47110842,717840.340043908,557620.333167232,226818.429869925,187568.619830665,78194.9900794806
"Amide-Neg-000296","5,5-Dimethyloxazolidine-2,4-Dione","C5 H7 N O3",NA,NA,2790209.06117282,NA,2443768.63875997,4016223.03167736,1471519.82229103,6013125.03163782
"C8-Pos-000887","5-(Z-Heptadec-8-Enyl) Resorcinol","C23 H38 O2",418772.304587819,411113.034381964,151740.858922134,NA,NA,106151.714271089,147720.79701062,110065.245014685
"Amide-Pos-000563","5-Methyl D-Glutamate","C6 H11 N O4",3295772.68125865,5235780.05343035,1309161.43751996,517518.260069613,2373715.89962889,3918683.19033722,6185785.53426558,6524056.879512
"Amide-Pos-001025","5-Methylcytidine","C10 H15 N3 O5",NA,12485.9840496437,16727.05063968,NA,5738.54354085936,60847.0853987538,12230.7542498583,6570.95886884652
"Amide-Pos-000295","5-Methylcytosine","C5 H7 N3 O",4355126.41830669,5061114.13974203,3508933.93860211,2711938.17812224,3229632.5183731,3632598.57172317,5208488.89577839,3441750.7203771
"C18-Pos-001321","6-(6-Aminohexanamido)Hexanoic Acid","C12 H24 N2 O3",70768.8592998685,184355.785898634,5658.58869672011,425894.970016219,33581.4564269154,6664.39942855195,48036.0015143404,72633.3499391688
"Amide-Neg-000323","6-Aminocaproic Acid","C6 H13 N O2",NA,2143404.27361851,NA,539964.057394119,3682614.55069781,NA,2646348.66791779,NA
"Amide-Pos-000636","6-Chloropicolinic Acid","C6 H4 Cl N O2",1498501.91489501,4880184.74817171,3989177.09156339,4269168.51729527,4994700.39648666,4270004.76931767,4898851.28617705,4362082.69489316
"C8-Neg-000556","7(Z),10(Z),13(Z),16(Z)-Docosatetraenoic Acid","C22 H36 O2",21244056.0411778,30184678.1842611,14216909.7153181,13237368.5325294,19308161.5577537,4165329.54388091,7168752.13609742,17277986.4224512
"Amide-Pos-001185","7-Methylguanosine","C11 H15 N5 O5",1907579.7824683,2247651.80026038,1457105.13838783,336103.917896563,953595.66218077,1534576.32030868,838403.882843874,1277140.12336616
"C8-Neg-000432","8z,11z,14z-Eicosatrienoic Acid","C20 H34 O2",11684102.199744,16612904.3962152,6485286.89145953,6911336.75644059,11311210.0577121,4273797.37107028,6537342.36141711,8466841.88570366
"C8-Pos-000007","9-Methoxy-9-Oxononanoic Acid","C10 H18 O4",69587.6905556134,53553.6430126557,74404.718271397,86927.3674967112,56140.1258921415,71045.8514178027,37578.9373149303,54339.7429165183
"Amide-Neg-000316","Acetyl-D-Alanine","C5 H9 N O3",1808883.98528297,2710867.54780481,963327.237146001,2241142.17654449,2585763.29886056,1835199.06901741,3124446.26095304,1542408.45851774
"Amide-Pos-000758","Acetyl-Dl-Carnitine","C9 H17 N O4",856953.067967173,626852.974513746,321442.445316535,481643.127667896,398717.063193961,593891.585368603,589585.386725763,131136.21961276
"Amide-Pos-000755","Acetyl-L-Carnitine","C9 H17 N O4",5454714.47842765,7805707.21485579,7256748.49216254,9730326.13460954,5026446.02373716,3575688.34919006,5003271.64014398,5675178.95052121
"Amide-Pos-000559","Acetyl-Β-Methylcholine","C8 H17 N O2",507355.009891649,1694099.01736619,112688.188128328,564824.949728884,1640103.14502312,4653097.91479688,314057.656834872,86311.3353611008
"Amide-Pos-000466","Acetylcholine","C7 H15 N O2",33683877.0428274,42075088.9747188,3140746.97209287,9582897.46250507,166443631.888378,78218831.6411308,9911916.90447795,2174991.3855875
"C18-Pos-002968","Acetyltributyl Citrate","C20 H34 O8",592470.72312698,419304.58802081,261374.09020974,355127.523692271,703347.390600503,240026.722412127,241893.842887634,365123.545632429
"Amide-Neg-000002","Acrylic Acid","C3 H4 O2",2548196.78338743,10362806.5304422,3592827.49117221,5266412.52650716,5023374.88968519,4231794.30570167,10735622.4223314,10748194.8842512
"Amide-Pos-000383","Adenine","C5 H5 N5",508043817.77419,183823151.691073,231738500.301385,334098208.36004,112396214.886982,117156293.530028,428566350.734249,314534603.950146
"Amide-Pos-001066","Adenosine","C10 H13 N5 O4",300946353.974968,541343734.066033,325717824.492965,1476956669.70737,160659265.859093,692453050.646777,1671598271.98639,302392540.00907
"Amide-Pos-001676","Adenosine 5'-Diphosphate","C10 H15 N5 O10 P2",29877279.4962637,45178278.4721411,2203474.02444413,15036902.1456038,34970805.2001996,20697459.4131219,34551429.4785965,23995614.928439
"Amide-Pos-001936","Adenosine 5'-Diphosphoribose","C15 H23 N5 O14 P2",73143.8849074128,549389.627287797,159216.593360463,124847.036807427,162022.487188036,62799.0533613715,122269.979186506,265605.764129111
"Amide-Pos-001400","Adenosine 5'-Monophosphate","C10 H14 N5 O7 P",NA,NA,36683438.1706449,NA,83158550.5945641,NA,83601830.9711846,43089532.3286139
"Amide-Neg-002157","Adenosine Triphosphate (Atp)","C10 H16 N5 O13 P3",322748.601585306,1320221.05768339,39152.2897617969,316793.976625259,1065050.56212027,166871.143993639,970714.922308383,493047.008949812
"C8-Neg-000540","All-Cis-4,7,10,13,16-Docosapentaenoic Acid","C22 H34 O2",23202453.5997441,23546025.9746611,12273301.1502024,12252647.9469969,15955721.5676912,6956288.41019193,7328374.47577941,12196547.9881245
"Amide-Neg-000402","Allopurinol","C5 H4 N4 O",123804396.398471,52961878.6698656,71994963.570368,127825585.788559,105328555.321552,32944796.8473809,59232989.2838041,53864300.2342765
"Amide-Pos-000165","Amifampridine","C5 H7 N3",6510090.69905744,5455288.17223881,1802968.22826785,2465517.78394048,5877752.85413066,2068179.20079059,5202258.30594475,1700746.40703762
"Amide-Pos-000913","Anserine","C10 H16 N4 O3",378487.658242211,501658.403848246,7843.41301797349,187607.404738827,202005.046276329,29057.2252271421,225907.722266433,58702.9328582201
"C8-Neg-000422","Arachidonic Acid","C20 H32 O2",209438126.207808,250367895.360222,153849947.131452,140545768.910803,173809729.697362,93654417.6122164,96484302.6702807,154559946.126293
"C18-Pos-001333","Asp-Leu","C10 H18 N2 O5",366586.142296456,495910.645125244,242268.102982877,213805.783523617,489321.162854275,320000.920945064,394526.345331513,271247.60063916
"C18-Pos-001575","Asp-Phe","C13 H16 N2 O5",38375.9187077594,NA,55418.8968684194,51850.700648297,62075.3577732298,86974.3352071819,62150.9170974938,53046.0451781248
"Amide-Pos-001387","Asp-Pro-Asn","C13 H20 N4 O7",106806.662382434,170014.60651488,68125.2778597307,142727.876083785,219969.460266904,125144.519026663,244962.993453537,148917.882152608
"Amide-Pos-000372","Asparagine","C4 H8 N2 O3",10682820.5105825,18631696.6491623,7978783.55213892,15039002.7295158,3576153.19197555,8073657.84466615,14288790.9309078,7392568.86572518
"C18-Neg-000351","Azelaic Acid","C9 H16 O4",491015.739900213,475602.278658126,624073.529844628,720181.453187962,463019.740993528,327261.154979949,567385.337150731,400154.707156797
"Amide-Pos-001526","Azithromycin","C38 H72 N2 O12",637242.901097282,NA,936309.617568795,120164.777356021,250833.812437238,163687.948703576,NA,913531.417496133
"Amide-Neg-000637","Benzene-1,3-Dicarboxylic Acid","C8 H6 O4",1090150.88583851,2219653.63442958,2145002.16477607,1040311.56731581,1987355.26904677,NA,2266630.31740908,1906891.90742845
"Amide-Pos-000026","Beta-Alanine","C3 H7 N O2",26448383.2945459,32053086.8726461,20585601.6016735,17425022.6162092,26852926.0517506,23527681.9514202,19621444.3591129,19554307.2865115
"C18-Pos-000247","Betaine","C5 H11 N O2",113747946.559429,NA,116179170.12605,170432212.329948,NA,39388800.1527949,204553011.833896,NA
"Amide-Pos-001974","Bilirubin","C33 H36 N4 O6",244005.292775155,534406.328416904,123096.942982276,30017.2269095861,85215.401220486,60932.0504532684,249657.505995025,106545.362167128
"C8-Pos-002830","Biliverdin","C33 H34 N4 O6",614481.257925674,430183.928131532,489035.45970109,1063082.61761032,607769.542352792,1065106.54781885,795081.3233517,742472.032942537
"C18-Pos-001159","Biotin","C10 H16 N2 O3 S",43818.7408770007,86489.200967547,5651979.15185662,24131.9228002183,26542.2605999058,59357.1397974133,153907.508765301,10921.073294546
